Batch ID,Entry ID,Entry Type,Super Category,Shipping Info,Dispatched Date,Product Cost,Agency Margin,Country
73684,57,New Product,Food,Shipped Full,2017-08-07 16:23:08,2.65,8.49,Portugal
73684,58,New Product,Food,Shipped Full,2017-08-07 16:23:08,0.99,10.15,Portugal
73684,59,New Product,Food,Empty Packaging,2017-08-07 16:23:08,4.49,6.65,Portugal
73684,60,New Product,Drink,Empty Packaging,2017-08-07 16:23:08,2.99,8.15,Portugal
73684,61,New Product,Food,Empty Packaging,2017-08-07 16:23:08,2.17,8.97,Portugal
73684,62,New Product,Food,Empty Packaging,2017-08-07 16:23:08,2.69,8.45,Portugal
73684,63,New Product,Food,Empty Packaging,2017-08-07 16:23:08,3.99,7.15,Portugal
73684,64,New Product,Beauty & Personal Care,Not Shipped,2017-08-07 16:23:08,10.99,0.15,Portugal
73684,65,New Product,Food,Empty Packaging,2017-08-07 16:23:08,5.49,5.65,Portugal
73684,66,Variety,Food,Empty Packaging,2017-08-07 16:23:08,5.49,2.25,Portugal
73684,67,New Product,Food,Shipped Full,2017-08-07 16:23:08,1.89,9.25,Portugal
73684,68,New Product,Household,Shipped Full,2017-08-07 16:23:08,3.29,7.85,Portugal
73684,69,New Product,Food,Shipped Full,2017-08-07 16:23:08,1.59,9.55,Portugal
73684,70,New Product,Drink,Shipped Full,2017-08-07 16:23:08,10.60,0.54,Portugal
73684,71,New Product,Food,Empty Packaging,2017-08-07 16:23:08,2.49,8.65,Portugal
74079,1,New Product,Food,Shipped Full,2017-08-21 15:03:22,1.49,9.65,Portugal
74079,2,Variety,Food,Shipped Full,2017-08-21 15:03:22,1.49,6.25,Portugal
74079,3,Variety,Food,Shipped Full,2017-08-21 15:03:22,1.49,6.25,Portugal
74079,4,New Product,Food,Shipped Full,2017-08-21 15:03:22,2.59,8.55,Portugal
74079,5,Variety,Food,Shipped Full,2017-08-21 15:03:22,2.59,5.15,Portugal
74079,6,New Product,Food,Shipped Full,2017-08-21 15:03:22,1.99,9.15,Portugal
74079,7,Variety,Food,Shipped Full,2017-08-21 15:03:22,1.99,5.75,Portugal
74079,8,Variety,Food,Shipped Full,2017-08-21 15:03:22,1.99,5.75,Portugal
74079,9,New Product,Food,Shipped Full,2017-08-21 15:03:22,2.79,8.35,Portugal
74079,10,New Product,Food,Shipped Full,2017-08-21 15:03:22,1.49,9.65,Portugal
74079,11,New Product,Food,Shipped Full,2017-08-21 15:03:22,1.69,9.45,Portugal
74079,12,New Product,Food,Shipped Full,2017-08-21 15:03:22,1.49,9.65,Portugal
74079,13,New Product,Drink,Empty Packaging,2017-08-21 15:03:22,1.39,9.75,Portugal
74079,14,Variety,Drink,Empty Packaging,2017-08-21 15:03:22,1.39,6.35,Portugal
74079,15,New Product,Drink,Empty Packaging,2017-08-21 15:03:22,0.99,10.15,Portugal
74079,16,New Product,Drink,Shipped Full,2017-08-21 15:03:22,4.99,6.15,Portugal
74079,17,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,1.99,9.15,Portugal
74079,18,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,5.05,6.09,Portugal
74079,19,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,4.89,6.25,Portugal
74079,20,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,5.19,5.95,Portugal
74079,21,New Product,Healthcare,Shipped Full,2017-08-21 15:03:22,10.20,0.94,Portugal
74079,22,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,11.99,-0.85,Portugal
74079,23,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,1.89,9.25,Portugal
74079,24,New Product,Beauty & Personal Care,Not Shipped,2017-08-21 15:03:22,9.99,1.15,Portugal
74079,25,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,0.75,10.39,Portugal
74079,26,New Product,Beauty & Personal Care,Shipped Full,2017-08-21 15:03:22,14.99,-3.85,Portugal
74079,27,New Product,Drink,Shipped Full,2017-08-21 15:03:22,2.99,8.15,Portugal
